Country,ISO_Country_Code,Month,Breakfast_Basket_USD,Milk (1L) USD,Bread (500g) USD,Eggs (12) USD,Bananas (1kg) USD,Oranges (1kg) USD,Cheese (1kg) USD,Tomatoes (1kg) USD,Chicken (1kg) USD
Australia,AUS,2025-10,12.37,1.73,2.75,4.83,3.33,3.05,9.86,7.38,9.35
Australia,AUS,2025-11,12.44,1.71,2.72,4.91,3.5,3.3,9.91,8.11,9.06
Australia,AUS,2025-12,12.71,1.75,2.77,5.04,3.58,3.26,9.81,8.31,9.06
Australia,AUS,2026-01,12.56,1.77,2.7,4.94,3.5,3.2,9.82,7.96,9.15
Australia,AUS,2026-02,12.74,1.75,2.83,4.99,3.57,3.25,9.96,7.87,9.26
Australia,AUS,2026-03,12.75,1.77,2.76,5.04,3.54,3.25,10.06,7.96,9.21
Brazil,BRA,2025-10,6.59,1.05,1.72,2.24,1.21,1.21,9.62,1.98,4.28
Brazil,BRA,2025-11,6.64,1.04,1.72,2.25,1.35,1.29,9.5,2.27,4.29
Brazil,BRA,2025-12,6.74,1.04,1.74,2.33,1.35,1.28,9.47,2.26,4.29
Brazil,BRA,2026-01,6.74,1.06,1.75,2.32,1.31,1.3,9.54,2.17,4.35
Brazil,BRA,2026-02,6.9,1.11,1.75,2.35,1.31,1.29,9.84,2.18,4.44
Brazil,BRA,2026-03,6.83,1.1,1.75,2.34,1.32,1.3,9.8,2.19,4.37
Canada,CAN,2025-10,19.21,2.44,2.91,3.77,3.78,4.09,11.87,8.81,13.78
Canada,CAN,2025-11,19.54,2.43,2.96,3.83,4.12,4.43,11.91,9.8,13.43
Canada,CAN,2025-12,19.97,2.54,2.95,3.98,4.11,4.44,12.2,9.84,13.43
Canada,CAN,2026-01,19.7,2.46,2.98,3.88,4,4.31,12.14,9.65,13.47
Canada,CAN,2026-02,20.02,2.54,2.94,4.01,3.97,4.33,12.22,9.59,13.57
Canada,CAN,2026-03,20.01,2.51,2.98,3.96,4.02,4.35,12.26,9.55,13.6
China,CHN,2025-10,12.12,1.92,1.78,1.69,3.37,1.53,13.84,6.36,3.78
China,CHN,2025-11,12.29,1.95,1.79,1.72,3.66,1.65,14.01,7.23,3.73
China,CHN,2025-12,12.33,1.96,1.78,1.71,3.65,1.69,14.08,7.13,3.66
China,CHN,2026-01,12.28,1.96,1.76,1.73,3.56,1.64,13.96,6.98,3.72
China,CHN,2026-02,12.57,2,1.82,1.74,3.58,1.65,14.16,6.94,3.72
China,CHN,2026-03,12.47,1.99,1.8,1.75,3.58,1.65,14.18,6.95,3.72
France,FRA,2025-10,10.81,1.46,2.21,4.56,1.67,3.11,20.52,3.38,15.31
France,FRA,2025-11,10.82,1.45,2.21,4.62,1.77,3.28,21.3,3.85,15.06
France,FRA,2025-12,10.97,1.44,2.2,4.75,1.81,3.37,21.43,3.89,14.96
France,FRA,2026-01,10.88,1.42,2.21,4.69,1.77,3.27,21.08,3.73,15.44
France,FRA,2026-02,11.07,1.44,2.27,4.71,1.75,3.34,21.35,3.68,15.37
France,FRA,2026-03,11.04,1.46,2.23,4.7,1.77,3.31,21.53,3.67,15.38
Germany,DEU,2025-10,10.14,1.36,2.4,3.92,1.57,2.32,15.5,3.21,13.95
Germany,DEU,2025-11,10.17,1.35,2.36,4.04,1.73,2.46,15.98,3.56,13.78
Germany,DEU,2025-12,10.51,1.36,2.42,4.2,1.69,2.49,15.96,3.58,13.83
Germany,DEU,2026-01,10.37,1.38,2.4,4.11,1.69,2.51,15.75,3.49,13.94
Germany,DEU,2026-02,10.54,1.4,2.42,4.21,1.67,2.49,16.32,3.45,14.04
Germany,DEU,2026-03,10.5,1.39,2.41,4.18,1.68,2.47,16.14,3.5,13.87
India,IND,2025-10,2.97,0.68,0.51,0.94,0.61,1.04,5.03,0.53,3.16
India,IND,2025-11,3.03,0.7,0.51,0.98,0.66,1.13,5.04,0.58,3.08
India,IND,2025-12,3.07,0.71,0.51,1,0.66,1.12,5.09,0.6,3.14
India,IND,2026-01,3.02,0.7,0.52,0.96,0.65,1.11,5.14,0.58,3.15
India,IND,2026-02,3.12,0.72,0.53,1.01,0.65,1.13,5.26,0.57,3.21
India,IND,2026-03,3.1,0.72,0.52,1,0.66,1.12,5.24,0.57,3.18
Italy,ITA,2025-10,11.81,1.76,2.59,4.34,1.98,2.76,18.41,4.03,13.76
Italy,ITA,2025-11,11.98,1.79,2.6,4.41,2.2,2.96,18.13,4.68,13.71
Italy,ITA,2025-12,12.06,1.75,2.57,4.6,2.15,2.93,18.57,4.7,13.57
